university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Art,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Creative Writing,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Dance,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Drama,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Journalism,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Music,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AA,Radio-Television-Film,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AAS,Audio Technology,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AAS,"Game Development, Animation, and Motion Graphics",2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AAS,"Music Business, Performance and Technology",2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",AAS,Visual Communication,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",Certificate,Audio Technology,1 Year,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$1,200 to $2,500 total (varies by program)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,"Arts, Digital Media, & Communications",Certificate,Game Development,1 Year,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$1,200 to $2,500 total (varies by program)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,Business,AS,Business Administration,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,Business,AAS,Accounting,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,Business,AAS,Business and Technical Communications,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
Austin Community College,Austin,Business,AAS,Management,2 Years,High school diploma or GED; Open Admission,TSI Assessment (unless exempt); No SAT/ACT required,"Tuition: ~$2,550/year (In-district); ~$11,000/year (Out-of-state)","Rolling Admission (Fall, Spring, Summer starts)",https://www.austincc.edu/academic-and-career-programs
