university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Appalachian State University,Boone,College of Arts and Sciences,BS,Actuarial Science,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BA,Anthropology,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Biology,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Chemistry,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Computer Science,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Criminal Justice,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BA,English,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Environmental Science,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Geography,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
Appalachian State University,Boone,College of Arts and Sciences,BS,Geology,4 Years,High school diploma; Minimum GPA requirements; Strong academic curriculum,Test-Optional (SAT/ACT not required for admission for most students); TOEFL 78+ / IELTS 6.0+,"In-state: ~$8,000/year; Out-of-state: ~$24,000/year",01-Nov-2026 (Early Action),https://bulletin.appstate.edu/
