university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
California Institute of Technology (Caltech),Pasadena,Joint Division of Biology & Biological Engineering / Chemistry & Chemical Engineering,BSc,Biochemistry,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.bbe.caltech.edu/academics/undergraduate-options/biochemistry
California Institute of Technology (Caltech),Pasadena,Division of Biology and Biological Engineering,BSc,Bioengineering,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.bbe.caltech.edu/academics/undergraduate-options/bioengineering
California Institute of Technology (Caltech),Pasadena,Division of Biology and Biological Engineering,BSc,Biology,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.bbe.caltech.edu/academics/undergraduate-options/biology
California Institute of Technology (Caltech),Pasadena,Division of Chemistry and Chemical Engineering,BSc,Chemical Engineering,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.che.caltech.edu/academics/undergraduate
California Institute of Technology (Caltech),Pasadena,Division of Chemistry and Chemical Engineering,BSc,Chemistry,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://chemistry.caltech.edu/academics/undergraduate
California Institute of Technology (Caltech),Pasadena,Department of Computing and Mathematical Sciences,BSc,Applied and Computational Mathematics,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.cms.caltech.edu/academics/ugrad/acm
California Institute of Technology (Caltech),Pasadena,Department of Applied Physics and Materials Science,BSc,Applied Physics,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.eas.caltech.edu/academics/undergraduate-education
California Institute of Technology (Caltech),Pasadena,Department of Computing and Mathematical Sciences,BSc,Computer Science,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.cms.caltech.edu/academics/ugrad/cs
California Institute of Technology (Caltech),Pasadena,Department of Electrical Engineering,BSc,Electrical Engineering,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.ee.caltech.edu/academics/undergraduate
California Institute of Technology (Caltech),Pasadena,Division of Engineering and Applied Science,BSc,Engineering and Applied Science,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.eas.caltech.edu/academics/undergraduate-education
California Institute of Technology (Caltech),Pasadena,Department of Computing and Mathematical Sciences,BSc,Information and Data Sciences,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.cms.caltech.edu/academics/ugrad/ids
California Institute of Technology (Caltech),Pasadena,Department of Applied Physics and Materials Science,BSc,Materials Science,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.eas.caltech.edu/academics/undergraduate-education
California Institute of Technology (Caltech),Pasadena,Department of Mechanical and Civil Engineering,BSc,Mechanical Engineering,4 Years,"High school diploma; extremely competitive — SAT Math 800 (median), ACT 36 (median); acceptance rate ~2.57%; 4 years high school math incl. calculus required; strong foundation in physics and chemistry; all first-year students take same core curriculum","SAT or ACT REQUIRED for Fall 2026 entry (no cut-off scores); TOEFL 100+, IELTS 7.0+, or Duolingo 120+ required for international students whose primary language of instruction is not English","Domestic/International: $65,622/year (tuition); $68,208/year (tuition + fees); ~$93,912/year total COA 2025-26",05-Jan-2026,https://www.mce.caltech.edu/academics/undergraduate
