university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
California Institute of Technology (Caltech),Caltech Scholarships,Need-Based Grant,Varies up to full cost of attendance,Demonstrated financial need; calculated via CSS Profile and FAFSA. Caltech does not offer merit-based scholarships.,Regular Decision deadline,https://finaid.caltech.edu/typesofaid
California Institute of Technology (Caltech),Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://finaid.caltech.edu/typesofaid
California Institute of Technology (Caltech),Federal SEOG,Federal Grant,Varies,Exceptional financial need,Determined by FAFSA,https://finaid.caltech.edu/typesofaid
California Institute of Technology (Caltech),Cal Grant,State Grant,Varies,California residents with qualifying GPA and financial need,March 2,https://finaid.caltech.edu/typesofaid
California Institute of Technology (Caltech),Outside Scholarships,External/Merit,Varies,Used to replace the student summer earnings expectation before reducing Caltech grants,Varies by organization,https://finaid.caltech.edu/typesofaid
Carnegie Mellon University,Carnegie Mellon University Grant,Need-Based Grant,Varies,Demonstrated financial need via FAFSA and CSS Profile. Primarily available to U.S. citizens and permanent residents.,Feb 15 (Regular Decision),https://www.cmu.edu/sfs/financial-aid/types/scholarships-and-grants/
Carnegie Mellon University,Tartan Grant,Need-Based Grant,Varies,Institutional grant for students who demonstrate high need.,Feb 15,https://www.cmu.edu/sfs/financial-aid/types/scholarships-and-grants/
Carnegie Mellon University,Presidential Fellowships and Scholarships,Merit/Endowed,Varies,Awarded to select top-performing admitted students; no separate application required.,No separate application,https://www.cmu.edu/sfs/financial-aid/types/scholarships-and-grants/
Carnegie Mellon University,Federal Pell Grant & SEOG,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,FAFSA Priority Deadline,https://www.cmu.edu/sfs/financial-aid/types/scholarships-and-grants/
Carnegie Mellon University,PHEAA State Grant,State Grant,Varies,Pennsylvania residents demonstrating financial need.,May 1,https://www.cmu.edu/sfs/financial-aid/types/scholarships-and-grants/
Duke University,A.B. Duke Memorial Scholarship,Merit Scholarship,"Full tuition, room, and board + funding for research/study away",Outstanding academic achievement and promise for students studying at Trinity College of Arts & Sciences. All applicants automatically considered.,No separate application (admissions deadline),https://financialaid.duke.edu/undergraduate-applicants/merit-scholarships/
Duke University,Robertson Scholars Leadership Program,Merit Scholarship,"Full tuition, room, and board + 3 summers of funding","Demonstrated leadership, intellectual curiosity, and commitment to service. Joint program with UNC-Chapel Hill.",Mid-November (Requires separate application),https://financialaid.duke.edu/undergraduate-applicants/merit-scholarships/
Duke University,University Scholars Program,Merit Scholarship,"Full tuition, room, and board",Interdisciplinary interests and ability to cross academic boundaries.,No separate application,https://financialaid.duke.edu/undergraduate-applicants/merit-scholarships/
Duke University,Karsh International Scholars Program,Merit/Need,Full demonstrated need + funding for research,International students who demonstrate outstanding academic achievement and financial need.,No separate application,https://financialaid.duke.edu/undergraduate-applicants/merit-scholarships/
Duke University,BN Duke Scholarship,Merit Scholarship,"Full tuition, room, and board",Students from North and South Carolina who demonstrate strong leadership and academic excellence.,No separate application,https://financialaid.duke.edu/undergraduate-applicants/merit-scholarships/
Duke University,Duke University Grant,Need-Based Grant,Varies up to full cost,Covers 100% of demonstrated need without loans for undergraduate students.,Early/Regular Decision deadlines,https://financialaid.duke.edu/undergraduate-applicants/merit-scholarships/
Emory University,Emory University Scholar Programs (Woodruff Scholars),Merit Scholarship,"Full tuition, room, and board","Exceptional academic achievement, leadership, and a commitment to community. Top 1-2% of applicants.",Nov 1 (Must select Scholar Programs on application),https://apply.emory.edu/financial-aid/types-of-aid/index.html
Emory University,Goizueta Scholars Program,Merit Scholarship,Full tuition or varying amounts,Students interested in business with strong leadership and academic records.,Nov 1,https://apply.emory.edu/financial-aid/types-of-aid/index.html
Emory University,Emory Advantage (Need-Based Grant),Need-Based Grant,Varies up to full cost,"Emory replaces loans with institutional grants for families with domestic incomes below $100,000. Covers 100% of demonstrated need for all domestic students.",Regular Decision deadline,https://apply.emory.edu/financial-aid/types-of-aid/index.html
Emory University,Federal Pell & SEOG Grants,Federal Grant,Varies,High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://apply.emory.edu/financial-aid/types-of-aid/index.html
Emory University,HOPE/Zell Miller Scholarship,State Merit,Varies,Georgia residents graduating from a GA high school with a minimum GPA.,State deadline,https://apply.emory.edu/financial-aid/types-of-aid/index.html
Georgetown University,Georgetown University Scholarship,Need-Based Grant,Varies up to full cost of attendance,Demonstrated financial need via CSS Profile and FAFSA. Georgetown does not offer academic or merit-based scholarships.,Regular Decision deadline,https://finaid.georgetown.edu/undergraduate/types-of-aid/
Georgetown University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://finaid.georgetown.edu/undergraduate/types-of-aid/
Georgetown University,Federal SEOG Grant,Federal Grant,Varies,Exceptional financial need,Determined by FAFSA,https://finaid.georgetown.edu/undergraduate/types-of-aid/
Georgetown University,Outside Scholarships,External/Merit,Varies,Must be reported; used to reduce the student loan or work-study expectation before reducing Georgetown Scholarships.,Varies by organization,https://finaid.georgetown.edu/undergraduate/types-of-aid/
Johns Hopkins University,Hodson Trust Scholarship,Merit Scholarship,"~$40,000 to full tuition","Awarded to fewer than 20 freshmen based on academic and personal achievement, leadership, and contribution.",No separate application,https://finaid.jhu.edu/undergraduate-aid/types-of-aid/
Johns Hopkins University,Charles R. Westgate Scholarship in Engineering,Merit Scholarship,Full tuition,Outstanding high school academic record and interest in engineering.,No separate application,https://finaid.jhu.edu/undergraduate-aid/types-of-aid/
Johns Hopkins University,Clark Scholars Program,Merit Scholarship,Varies,"Engineering students combining academic excellence with business, leadership, and community service.",No separate application,https://finaid.jhu.edu/undergraduate-aid/types-of-aid/
Johns Hopkins University,Hopkins Grant / JHU Grant,Need-Based Grant,Varies up to full cost,Covers 100% of demonstrated need without loans. JHU is need-blind for domestic and international students.,Regular Decision deadline,https://finaid.jhu.edu/undergraduate-aid/types-of-aid/
Johns Hopkins University,Federal Pell Grant & SEOG,Federal Grant,Varies,High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://finaid.jhu.edu/undergraduate-aid/types-of-aid/
Massachusetts Institute of Technology (MIT),MIT Scholarship,Need-Based Grant,"Varies up to full cost (average is over $50,000)","Demonstrated financial need via CSS Profile and FAFSA. MIT does not award merit, athletic, or legacy scholarships.",Early Action / Regular Decision deadlines,https://sfs.mit.edu/undergraduate-financial-aid/types-of-aid/mit-scholarships/
Massachusetts Institute of Technology (MIT),Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://sfs.mit.edu/undergraduate-financial-aid/types-of-aid/mit-scholarships/
